# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.totalBytesStored,1785429225201000000,1785429245630000000,1618016
FilePageCache.pageHits,1785429225201000000,1785429245630000000,0
FilePageCache.maxCacheSizeInBytes,1785429225201000000,1785429245630000000,403701760
FilePageCache.totalPageStoresUs,1785429225201000000,1785429245630000000,40585
FilePageCache.WAL.bytesQueued,1785429225201000000,1785429245630000000,639132
FilePageCache.pageLoads,1785429225201000000,1785429245630000000,388
StorageLockContext.competingThreads.avg,1785429225201000000,1785429245630000000,0.0
FilePageCache.WAL.entriesFlushedOnForce,1785429225201000000,1785429245630000000,0
FilePageCache.pageFastCacheHits,1785429225201000000,1785429245630000000,27037
FilePageCache.WAL.flushesForcedByOverflow,1785429225201000000,1785429245630000000,0
FilePageCache.WAL.entriesFlushedOnRead,1785429225201000000,1785429245630000000,26
DirectByteBufferAllocator.reclaimed,1785429225201000000,1785429245630000000,43
FileChannelInterruptsRetryer.totalRetriedAttempts,1785429225201000000,1785429245630000000,0
FilePageCache.maxRegisteredFiles,1785429225201000000,1785429245630000000,1078
FilePageCache.WAL.entriesFlushed,1785429225201000000,1785429245630000000,312
FilePageCache.WAL.entriesFlushedOnClose,1785429225201000000,1785429245630000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1785429225201000000,1785429245630000000,0
FilePageCache.capacityInBytes,1785429225201000000,1785429245630000000,629145600
FilePageCache.disposedBuffers,1785429225201000000,1785429245630000000,388
DirectByteBufferAllocator.hits,1785429225201000000,1785429245630000000,3
DirectByteBufferAllocator.misses,1785429225201000000,1785429245630000000,385
FilePageCache.uncachedFileAccess,1785429225201000000,1785429245630000000,927
StorageLockContext.competingThreads.max,1785429225201000000,1785429245630000000,0
FilePageCache.WAL.bytesCopiedByApplyUnfinished,1785429225201000000,1785429245630000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1785429225201000000,1785429245630000000,41943040
FilePageCache.WAL.entriesFlushedOnTruncate,1785429225201000000,1785429245630000000,0
DirectByteBufferAllocator.disposed,1785429225201000000,1785429245630000000,345
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1785429225201000000,1785429245630000000,41943040
FilePageCache.totalPageDisposalsUs,1785429225201000000,1785429245630000000,2979
FilePageCache.totalPageLoadsUs,1785429225201000000,1785429245630000000,259308
StorageLockContext.competingThreads.90P,1785429225201000000,1785429245630000000,0
Indexes.allKeys.lookupDurationMaxMs,1785429225201000000,1785429245630000000,0.0
Indexing.cache.totalCacheEvicted,1785429225201000000,1785429245630000000,0
Indexing.cache.totalCacheMisses,1785429225201000000,1785429245630000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1785429225201000000,1785429245630000000,0
Indexing.writesQueuedMax,1785429225201000000,1785429245630000000,0
Indexes.entries.lookupDurationAvgMs,1785429225201000000,1785429245630000000,0.0
Indexing.cache.totalCacheAccesses,1785429225201000000,1785429245630000000,0
Indexes.stubs.lookupDurationMaxMs,1785429225201000000,1785429245630000000,0.0
Indexing.totalTimeIndexersSleptMs,1785429225201000000,1785429245630000000,0
Indexes.entries.lookupDurationMaxMs,1785429225201000000,1785429245630000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1785429225201000000,1785429245630000000,0.0
Indexes.stubs.lookupDuration90PMs,1785429225201000000,1785429245630000000,0.0
Indexes.stubs.lookupDurationAvgMs,1785429225201000000,1785429245630000000,0.0
Indexes.allKeys.lookupDuration90PMs,1785429225201000000,1785429245630000000,0.0
Indexes.stubs.lookups,1785429225201000000,1785429245630000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1785429225201000000,1785429245630000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1785429225201000000,1785429245630000000,0
Indexes.entries.lookupDuration90PMs,1785429225201000000,1785429245630000000,0.0
Indexes.entries.lookups,1785429225201000000,1785429245630000000,1
Indexes.allKeys.lookups,1785429225201000000,1785429245630000000,0
Indexing.writesQueuedMin,1785429225201000000,1785429245630000000,9223372036854775807
Indexing.writer_0.totalTimeSpentWritingMs,1785429225201000000,1785429245630000000,0
VFS.ContentWriter.totalTimeSpentOnSyncOperationsUs,1785429225201000000,1785429245630000000,0
VFS.ContentWriter.totalTasksExecutedSync,1785429225201000000,1785429245630000000,0
VFS.ContentWriter.totalTasksExecutedAsync,1785429225201000000,1785429245630000000,0
VFS.ContentWriter.totalFlushes,1785429225201000000,1785429245630000000,0
VFS.ContentWriter.totalTimeSpentOnAsyncOperationsUs,1785429225201000000,1785429245630000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1785429225201000000,1785429245630000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1785429225201000000,1785429245630000000,0
jps.save.global.entities.ms,1785429225201000000,1785429245630000000,2
workspaceModel.mutableEntityStorage.instances.count,1785429225201000000,1785429245630000000,4
workspaceModel.moduleManagerBridge.load.module.ms,1785429225201000000,1785429245630000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1785429225201000000,1785429245630000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1785429225201000000,1785429245630000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1785429225201000000,1785429245630000000,0
jps.app.storage.content.reader.load.component.ms,1785429225201000000,1785429245630000000,1
workspaceModel.moduleManagerBridge.create.module.instance.ms,1785429225201000000,1785429245630000000,0
workspaceModel.global.updates.ms,1785429225201000000,1785429245630000000,0
workspaceModel.do.save.caches.ms,1785429225201000000,1785429245630000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1785429225201000000,1785429245630000000,0
jps.app.storage.content.writer.save.component.ms,1785429225201000000,1785429245630000000,1
workspaceModel.mutableEntityStorage.entities.by.source.ms,1785429225201000000,1785429245630000000,0
